7241|F|Asta von Gott DK|SBI n|FD LO 70768
7247|F|Aster 07-30A|SBI n 21|FD LO 149011
7269|M|Asterix 00-70|SBI n|FD LO 104448
7273|M|Asterix 07-27A|SBI c|FD LO 148942
7275|M|Asterix 10-46|SBI a|(DK)FD LO 179612
7292|M|Asterix Bustervig DK|SBI n|FD LO 82620
7307|M|Asterix von Sivebæk DK|SBI d 21|FD LO 85126
7371|F|Astrid af Folkvang DK|SBI n|FD LO 93900
7448|F|Athena Bustervig DK|SBI n|FD LO 82621
7451|F|Athena Dia Chazan DK|SBI n|FD LO 76187
7456|F|Athena von Gott DK|SBI b|FD LO 108414
7457|F|Athena von Petri DK|SBI n|FD LO 100337
7460|F|Athene 04-03|SBI n|FD LO 126280
7468|F|Athene 97-112|SBI n|FD LO 92015
7485|F|Athene von Welsch DK|SBI n|FD LO 71034
7497|M|Athos Kempes DK|SBI a|FD LO 62423
7498|M|Athos Marcanna DK|SBI n|FD LO 75351
7500|M|Athos Sinklair|SBI e|FD LO 129026
7508|M|Atilio De Alfang DK|SBI a|FD LO 84077
7554|M|Atlas 97-113|SBI n|FD LO 92016
7558|M|Atlas von Petri DK|SBI b|FD LO 100335
7573|F|Attalea 00-71|SBI n|FD LO 104449
7591|M|Attillio's Bamse|SBI a|FD LO 54812
7592|F|Attillio's Beauty|SBI n|FD LO 44450
7593|M|Attillio's Buller|SBI a|FD LO 44448
7594|F|Attillio's Fanny|SBI n|FD LO 48090
7595|F|Attillio's Feline|SBI n|FD LO 48091
7596|F|Attillio's Fine|SBI a|FD LO 42804
7598|F|Attillio's Nuser|SBI n|FD LO 54814
7600|F|Attillio's Sofie|SBI a|FD LO 36644
7628|M|Audi 10-36|SBI a|(DK)FD LO 179138
7629|M|Audi TT von Gott DK|SBI n|FD LO 108412
7634|M|August 07-23|SBI n|FD LO 147905
7640|M|August Guanti Bianchi DK|SBI a|FD LO 123377
7643|M|August von Fuglelund DK|SBI n|FD LO 81498
7645|F|Augusta 94-157|SBI f 21|FD LO 77720
7651|F|Augusta Van de Mille DK|SBI n|FD LO 68872
7670|F|Aura 08-57|SBI a|FD LO 172143
7967|M|Avalon von Imporio*A|SBI d 21|FD LO 142297
8027|M|Awak Sinklair|SBI a 21|FD LO 94970
8035|M|Axel Dia Chazan DK|SBI n|FD LO 76186
8043|M|Axell Van de Mille DK|SBI n|FD LO 68870
8049|F|Aya 06-095|SBI b|FD LO 145092
8057|M|Aygo Sinklair|SBI b|(DK)FD LO 210442
8069|F|Ayla De Kitha-Sinh DK|SBI c|FD LO 72358
8217|F|Azzina|SBI a|FD LO 73821
8245|F|Babe Mille von Gott DK|SBI b|FD LO 148470
8264|F|Babette Marharthjen DK|SBI b|FD LO 96462
8353|M|Bacchus Cennini DK|SBI n|FD LO 81443
8368|M|Bacio-Coco-Alsino 04-84|SBI c|FD LO 130158
8381|F|Backkara's Aida|SBI f|FD LO 134481
8384|F|Backkara's Anthea|SBI n 21|FD LO 135366
8385|M|Backkara's Apollo 2|SBI b|FD LO 177355
8387|F|Backkara's April Joy|SBI f|FD LO 127744
8388|M|Backkara's Aragon|SBI n|FD LO 140376
8390|F|Backkara's Ariel|SBI c 21|FD LO 177211
8391|M|Backkara's Bartolini|SBI n|(DK)FD LO 208578
8396|F|Backkara's Blue Pearl|SBI a|FD LO 149495
8397|M|Backkara's Bon Jovi|SBI d|FD LO 135013
8398|M|Backkara's Bostic|SBI n|FD LO 136364
8404|M|Backkara's Chester|SBI a|FD LO 126330
8405|F|Backkara's Comtesse|SBI g|FD LO 130019
8407|M|Backkara's Copywrite|SBI n|FD LO 122384
8410|F|Backkara's Daylight|SBI b|FD LO 176995
8411|F|Backkara's Dear One|SBI n|FD LO 127522
8413|M|Backkara's Diablo|SBI a|FD LO 177354
8414|M|Backkara's Dime|SBI e|FD LO 127523
8415|M|Backkara's Don Juan|SBI e 21|FD LO 174742
8416|M|Backkara's El Dorado|SBI n|FD LO 137789
8419|M|Backkara's Enzo|SBI c|FD LO 176996
8420|F|Backkara's Essence of Joy|SBI c 21|(DK)FD LO 178073
8423|M|Backkara's Fahrenheit|SBI c|FD LO 141777
8424|M|Backkara's Falcon|SBI b 21|FD LO 133047
8425|M|Backkara's Fandango|SBI b|FD LO 129046
8426|F|Backkara's Fit For Fun|SBI b 21|FD LO 141779
8429|F|Backkara's Frosted Chrystal|SBI c|FD LO 177507
8431|F|Backkara's Frozen Heart|SBI a|FD LO 177213
8433|F|Backkara's Gemini|SBI h 21|(DK)FD LO 202667
8434|M|Backkara's Geralino|SBI c|(DK)FD LO 178635
8439|M|Backkara's Globetrotter|SBI n|FD LO 123284
8440|F|Backkara's Gloria|SBI n 21|FD LO 134480
8443|F|Backkara's Go for it|SBI g 21|(DK)FD LO 208877
8445|M|Backkara's Hamilton|SBI n|FD LO 131368
8446|M|Backkara's Hamlet|SBI n|FD LO 174715
8448|M|Backkara's Harlequin|SBI c|(DK)FD LO 204035
8449|F|Backkara's Havanna|SBI n|FD LO 173387
8451|M|Backkara's Hep Star|SBI b 21|FD LO 149430
8452|F|Backkara's Ice Chrystal|SBI g|FD LO 142633
8453|F|Backkara's Ice Maiden|SBI a|FD LO 142683
8454|M|Backkara's Igloo|SBI a 21|FD LO 173331
8456|M|Backkara's Jackpot|SBI b|FD LO 133048
8457|M|Backkara's Jetset|SBI c 21|FD LO 149574
8459|M|Backkara's Just Exclusive|SBI n|(DK)FD LO 205554
8460|M|Backkara's Just Jazz|SBI c 21|(DK)FD LO 209169
8461|M|Backkara's Just Magic|SBI a 21|(DK)FD LO 200967
8462|F|Backkara's Kiss From A Rose|SBI g|FD LO 173330
8463|F|Backkara's Kiwi|SBI j|FD LO 173388
8465|M|Backkara's Lacoste II|SBI a|(DK)FD LO 204653
8469|M|Backkara's Lexus|SBI b 21|FD LO 173798
8470|M|Backkara's Lionheart|SBI b|(DK)FD LO 206241
8472|M|Backkara's Mac Scott|SBI a|(DK)FD LO 201334
8473|F|Backkara's Madicken|SBI b 21|FD LO 124107
8474|M|Backkara's Marachino|SBI d 21|FD LO 149891
8475|M|Backkara's Matisse|SBI b 21|FD LO 149573
8476|F|Backkara's Mayday|SBI g 21|(DK)FD LO 204654
8477|F|Backkara's Melissa|SBI a|FD LO 140526
8478|M|Backkara's Milton|SBI n|FD LO 127020
8479|F|Backkara's Mistral|SBI n|FD LO 140377
8480|M|Backkara's Monet|SBI a|(DK)FD LO 201012
8481|F|Backkara's Monia|SBI f|FD LO 142425
8482|F|Backkara's Moonlight Dancer|SBI n|(DK)FD LO 208262
8484|F|Backkara's Moonlight Lady|SBI a 21|(DK)FD LO 179527
8485|M|Backkara's Mosquito|SBI d 21|(DK)FD LO 208879
8490|F|Backkara's On My Mind|SBI b 21|FD LO 142695
8491|F|Backkara's Orchide|SBI e 21|(DK)FD LO 202520
8492|M|Backkara's Outsider|SBI e 21|(DK)FD LO 202519
8493|M|Backkara's Papparazzi|SBI e|(DK)FD LO 178364
8494|M|Backkara's Porche|SBI a|FD LO 119924
8495|F|Backkara's Prima Donna|SBI e|(DK)FD LO 205553
8498|M|Backkara's Purple Rain|SBI c|(DK)FD LO 208261
8499|F|Backkara's Rainbow|SBI n|FD LO 177958
8500|M|Backkara's Raindance|SBI n 21|FD LO 149572
8504|F|Backkara's Red Roxette|SBI d|(DK)FD LO 178844
8505|M|Backkara's Rock'n'Roll|SBI n|FD LO 176997
8507|M|Backkara's Rousseau|SBI b|FD LO 149890
8508|F|Backkara's Roxy|SBI h|FD LO 127400
8509|F|Backkara's Sandy|SBI g|FD LO 142897
8511|M|Backkara's Signum|SBI d|FD LO 131756
8513|F|Backkara's Spirit|SBI n|FD LO 131725
8515|M|Backkara's Sputnic|SBI d|FD LO 131422
8516|M|Backkara's Stardust|SBI a|FD LO 127653
8518|F|Backkara's Sunflower|SBI f|FD LO 141768
8519|M|Backkara's Sunhunter|SBI d|FD LO 121612
8522|F|Backkara's Sunshine|SBI d|FD LO 121607
8525|F|Backkara's Sweet Fashion|SBI n|FD LO 127521
8527|F|Backkara's Sweet Heart|SBI e 21|FD LO 128878
8532|F|Backkara's Tiara|SBI n|(DK)FD LO 208880
8537|F|Backkara's Wild Kiss|SBI g 21|FD LO 173432
8539|F|Backkara's Wonderlove|SBI j 21|(DK)FD LO 205804
8540|F|Backkara's Za Za|SBI g|FD LO 170794
8541|F|Backkara's Zamantha|SBI b 21|FD LO 137051
8546|M|Bacon Cennini DK|SBI a|FD LO 81442
8715|M|Bailey 04-43|SBI b|FD LO 128286
8726|M|Bailey von Sivebæk DK|SBI n|FD LO 115070
8730|M|Bailey's Irish Cream Song Hio DK|SBI b|FD LO 146606
8824|M|Balder von Welsch DK|SBI n|FD LO 76857
8826|M|Baldo|SBI a|FD LO 94863
8832|M|Baldrian Berggren DK|SBI b|FD LO 107038
8920|M|Balki Borea Ohion DK|SBI a|FD LO 78369
8974|F|Balmo von Gaunø DK|SBI e|FD LO 101658
8980|M|Baloo 06-27|SBI b|FD LO 140956
8990|M|Baloo Dia Chazan DK|SBI a|FD LO 121548
9001|M|Baloo von Gott DK|SBI a|FD LO 75261
