SOURCE	TARGET	LABEL
1490	1558	DAM
1491	1558	DAM
1492	185374	DAM
1493	22545	DAM
1494	189248	DAM
1495	161858	DAM
1496	135696	DAM
1497	135696	DAM
1498	135696	DAM
1499	120811	DAM
1500	149646	DAM
1501	129584	DAM
1502	133689	DAM
1504	16004	DAM
1505	16004	DAM
1506	1505	DAM
1507	133689	DAM
1509	161751	DAM
1510	185374	DAM
1511	185374	DAM
1512	126843	DAM
1514	77556	DAM
1515	185374	DAM
1516	185374	DAM
1517	146538	DAM
1518	165158	DAM
1519	154339	DAM
1520	149606	DAM
1521	165158	DAM
1522	21353	DAM
1525	64832	DAM
1526	14692	DAM
1527	163983	DAM
1528	14676	DAM
1529	15438	DAM
1530	12907	DAM
1531	1536	DAM
1532	126650	DAM
1533	14416	DAM
1535	1534	DAM
1536	1533	DAM
1537	1533	DAM
1538	133366	DAM
1539	21454	DAM
1540	21454	DAM
1541	1542	DAM
1542	21454	DAM
1543	1541	DAM
1544	1541	DAM
1545	21454	DAM
1546	1554	DAM
1547	128603	DAM
1548	1557	DAM
1550	1557	DAM
1551	1545	DAM
1552	128651	DAM
1555	21454	DAM
1557	1553	DAM
1558	176722	DAM
1559	1558	DAM
1560	166912	DAM
1563	154298	DAM
1564	154298	DAM
1565	13445	DAM
1566	120630	DAM
1567	14330	DAM
1568	14676	DAM
1569	14330	DAM
1570	5108	DAM
1571	180827	DAM
1573	4745	DAM
1574	19035	DAM
1575	22397	DAM
1576	88775	DAM
1577	13383	DAM
1578	19035	DAM
1580	19035	DAM
1581	142785	DAM
1582	142785	DAM
1583	22397	DAM
1584	135696	DAM
1585	23197	DAM
1586	157577	DAM
1587	632	DAM
1588	157614	DAM
1589	1587	DAM
1592	157591	DAM
1594	1587	DAM
1595	1587	DAM
1596	1538	DAM
1597	188935	DAM
1598	1597	DAM
1599	130894	DAM
1600	163983	DAM
1601	187404	DAM
1604	13693	DAM
1605	13693	DAM
1609	127351	DAM
1610	99908	DAM
1612	163166	DAM
1613	163166	DAM
1615	193704	DAM
1617	192971	DAM
1618	1625	DAM
1622	1623	DAM
1623	1620	DAM
1628	14540	DAM
1629	117858	DAM
1630	16069	DAM
1631	19749	DAM
1632	39762	DAM
1633	175797	DAM
1634	179791	DAM
1637	97142	DAM
1638	186032	DAM
1639	64117	DAM
1640	6307	DAM
1641	14526	DAM
1642	7839	DAM
1643	155981	DAM
1645	154869	DAM
1646	10455	DAM
1647	1949	DAM
1649	8030	DAM
1651	151418	DAM
1654	148984	DAM
1655	163308	DAM
1656	148984	DAM
1658	148984	DAM
1660	190154	DAM
1661	155198	DAM
1662	17089	DAM
1663	190279	DAM
1664	66122	DAM
1665	59767	DAM
1666	178027	DAM
1667	109700	DAM
1668	57856	DAM
1669	165477	DAM
1670	186994	DAM
1671	148216	DAM
1672	20018	DAM
1673	18558	DAM
1674	174434	DAM
1675	7639	DAM
1676	179132	DAM
1677	147731	DAM
1678	120070	DAM
