66405 |M|DK Kiru's Mister Esset                |SBI a       |01-03-2002|FD LO 114459       
66546 |M|DK Kiru's Tiamo, DM                   |SBI a 21    |27-01-1992|FD RX 8068         
66916 |M|DK Kjätta's Aslan                     |BRI ns 24 64|19-05-2006|FD LO 140816       
67143 |M|DK Klintekongen Samuel                |BRI a       |15-01-1989|FD LO 54191        
69422 |M|DK La Chatte Champagne                |BRI a       |18-08-1999|FD LO 101142       
69698 |M|DK La Forêt's Imponerende Samson, DM  |NFO n 09 23 |29-03-1999|FD LO 99002        
70095 |M|DK Lady Fair's Hot Stof               |PER n 03    |13-09-1996|FD LO 87406        
71757 |M|DK Lesami's Red Garfield              |PER d       |25-12-1996|FD RX 11706        
72024 |M|DK Liden Kirsten's Pavarotti, DM      |SBI n       |27-09-1991|FD LO 65577        
72652 |M|DK Linea's Fair Play                  |SBI n       |03-07-2005|FD LO 135810       
72781 |M|DK Little Big Horn's Zeepheus         |BEN n 24    |20-05-2004|FD LO 130824       
72839 |M|DK Lobell's Mystic Merlin             |PER n 21 33 |04-06-1999|FD LO 100370       
73216 |M|DK Lord Follow's Andrew               |PER n       |20-05-1992|FD LO 67189        
73483 |M|DK Lucky Cat's Fister                 |MCO ds 22   |05-04-1994|FD LO 76121        
73563 |M|DK Lucky Cat's Lover Boy              |MCO d 22    |31-01-1994|FD LO 76806        
73680 |M|DK Lucky Cat's Simon                  |MCO d 22    |29-05-1996|FD LO 88957        
73777 |M|DK Lucky Look Barolo                  |SBI c       |21-12-2003|FD LO 125182       
78733 |M|DK Mignon's Mr. Swing King            |PER n       |31-01-1990|FD LO 58221        
85509 |M|DK Noer's Eros                        |BRI ns 22 64|06-05-2001|FD LO 109977       
85519 |M|DK Noer's Fisher                      |BRI ns 22 64|17-01-2002|FD LO 113686       
88411 |M|DK Paludan's Poseidon                 |BRI c 33    |04-05-2007|FD RX 152003       
89492 |M|DK Pepeluali's Faustino               |PER n 03    |18-08-1993|FD LO 73284        
90048 |M|DK Perséfelis Silver No. 1, DSM       |PER ns 12   |24-05-2000|FD RX 14238        
92026 |M|DK Purple Rain's Blinky Bill          |PER d       |05-09-1995|FD LO 82738        
92326 |M|DK Quatile's Drot                     |PER a 33    |08-06-1987|FD LO 48189        
95130 |M|DK Rytterparkens Hot'n Sweet          |NFO n 09 22 |18-08-2002|FD LO 117796       
96419 |M|DK Santor's Casco Kid Cody            |MCO e 23    |13-02-1994|FD LO 75273        
96638 |M|DK Sarafina Haka                      |MCO n       |24-11-1998|FD LO 98035        
96721 |M|DK Sarafina Montana                   |MCO n 22    |13-08-1999|FD LO 101452       
96800 |M|DK Sarafina Sir Denver                |MCO e 09 22 |05-01-1998|FD LO 93188        
97957 |M|DK Seierø's Jackie Chan               |RAG a       |29-06-2003|FD RX 122551       
98121 |M|DK Sekita's Obelix                    |NFO d       |07-11-1996|FD LO 87995        
98590 |M|DK ShaggyTail's Hercules              |NFO a 02    |15-04-2006|FD LO 140683       
99301 |M|DK Silent Hunter's Master Camicoon    |MCO n 09 23 |16-04-2009|FD LO 175675       
99509 |M|DK Silky Sox Nugget                   |SBI n       |02-07-2006|FD LO 142117       
99828 |M|DK Silverwood's Big Brown Bastian, DM |NFO n 23    |20-05-1995|FD LO 81066        
99839 |M|DK Silverwood's Dark Disney Design    |NFO n 22    |16-03-1996|FD LO 84448        
100125|M|DK Sir && Lady's Sir Qharim           |SBI n 21    |01-07-2005|FD LO 136660       
101582|M|DK Smurfs Loke by Spike               |RUS         |01-02-2008|FD LO 154039       
101592|M|DK Smurfs Rosencrantz Hamlet          |RUS         |13-05-2003|FD LO 122180       
103309|M|DK Starkad's Dianthus                 |NFO n 09    |29-08-1995|FD LO 82380        
103421|M|DK Starsfromheaven's Balder           |EUR ns 22   |21-06-2003|FD LO 121878       
